what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457967128
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457972490
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457972552
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457973892
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457974376
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457984740
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457986174
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457988013
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401457993297
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457994061
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457995120
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401457996102
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458002664
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458004223
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458010769
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458011891
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458012717
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458020977
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458026775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458027835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458029799
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458035971
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458042346
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458043702
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458050185
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458050996
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458052071
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458054814
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458128629
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458129798
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458130577
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458141394
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458144792
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458148969
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458150496
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458152772
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458160456
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458161749
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458174826
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458175839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458176712
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458179642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458184489
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458187747
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458188713
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458243934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458248251
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458249420
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458249482
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458249560
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458250979
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458251914
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458251976
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458252132
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458268778
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458270492
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1401458317998
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1401458318294
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1401458318528
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1401458318902
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1401458319292
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458337028
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458338369
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458339818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458340816
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458390207
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458392389
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458433973
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458434471
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458435297
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1401458437277
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1401458438072
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1401458438430
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458440176
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401458500400
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401458501506
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401458503610
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458522750
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458523763
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458537931
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458543043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458545770
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458547126
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458548700
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458552114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458560327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458561154
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458562307
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1401458575773
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458608535
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401458615018
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401458619554
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458645021
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1401458646034
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401458650523
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401458652736
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401458691124
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1401458694023
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1401458706944
